"Employee No","Employee Name","Location","Product ID","Garment Details","Size","Fit","Date Manufactured","Product Code","Current Condition","Previous Condition Code","Service Date","Service History"
"USHERS","USHER","HARROLD FIRE STATION ()","7282530395","RIB PBI GOLD FIRE HOOD CLB","N/A","N/A","01/01/1900","BRISTOLHOOD5","02/09/2025 - 2 - GOOD CONDITION","02/09/2025 - 2 - GOOD CONDITION","25/03/2026","DESP TO STATION"
"","","","","","","","","","","","17/11/2025","DESP TO STATION"
"","","","","","","","","","","","30/10/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","30/10/2025","RETURN FOR STOCK"
"","","","","","","","","","","","17/10/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","15/10/2025","STAIN REMOVAL 60 DEGREE WASH HOOD"
"","","","","","","","","","","","03/10/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","30/09/2025","STAIN REMOVAL 60 DEGREE WASH HOOD"
"","","","","","","","","","","","02/09/2025","STANDARD 40 DEGREE WASH AND DRY HOOD"
"","","","","","","","","","","","02/09/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","22/06/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","17/06/2025","STANDARD 40 DEGREE WASH AND DRY HOOD"
"","","","","","","","","","","","10/04/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","08/04/2025","STANDARD 40 DEGREE WASH AND DRY HOOD"
"","","","","","","","","","","","07/10/2024","REPLACEMENT FOR CONDEMNED/LOST ITEM"
"","","","","","","","","","","","04/10/2024","STANDARD 40 DEGREE WASH AND DRY HOOD"
"","","","","","","","","","","","04/10/2024","RETURN OF ITEM FOR STOCK"
"","","","","","","","","","","","09/08/2024","SERVICED ITEM DESPATCHED TO STATION"
"","","","","","","","","","","","04/08/2024","RETURN OF ITEM FOR STOCK"
"","","","","","","","","","","","02/08/2024","40 DEGREE PRE-WASH 60 DEGREE MAIN WASH"
"","","","","","","","","","","","06/06/2024","ISSUED AS POOL STOCK"
"USHERS","USHER","HARROLD FIRE STATION ()","7363620001","GOLD PBI TITAN (BLACK GRID) COAT CLB","SML","TALL","12/03/2018","XF2-A_PR2YG","23/08/2025 - 3 - FAIR","23/06/2025 - 3 - FAIR","25/03/2026","ISSUE AS POOLSTOCK"
"","","","","","","","","","","","22/01/2026","ISSUE AS POOLSTOCK"
"","","","","","","","","","","","15/01/2026","RETURN FOR STOCK"
"","","","","","","","","","","","07/01/2026","ISSUE AS POOLSTOCK"
"","","","","","","","","","","","14/11/2025","RETURN FOR STOCK"
"","","","","","","","","","","","07/10/2025","DESP TO STATION"
"","","","","","","","","","","","17/09/2025","RETURN FOR STOCK"
"","","","","","","","","","","","12/09/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","11/09/2025","40 DEGREE PRE-WASH 60 DEGREE MAIN WASH"
"","","","","","","","","","","","24/08/2025","ISSUE AS POOLSTOCK"
"","","","","","","","","","","","15/08/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","12/08/2025","60 DEGREE STANDARD WASH AND DRY"
"","","","","","","","","","","","23/06/2025","RETURN FOR STOCK"
"","","","","","","","","","","","20/06/2025","INSPECTION AND  APPLY CONDITION CODE"
"","","","","","","","","","","","17/06/2025","60 DEGREE STANDARD WASH AND DRY"
"","","","","","","","","","","","12/11/2024","RESTITCH TOP BACK SEAM"
"","","","","","","","","","","","12/11/2024","60 DEGREE STANDARD WASH AND DRY"
"","","","","","","","","","","","04/10/2024","THERMAL DISINFECTION  WASH & DRY"
"","","","","","","","","","","","09/08/2024","ASBESTOS DECONTAMINATION COAT/TROUSER"
"","","","","","","","","","","","28/03/2024","60 DEGREE STANDARD WASH AND DRY"
"","","","","","","","","","","","13/01/2024","60 DEGREE STANDARD WASH AND DRY"
"","","","","","","","","","","","08/01/2024","THERMAL DISINFECTION  WASH & DRY"
